neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price
Alexanderplatz,Entire rental unit,Entire home/apt,1.173665229859642,-0.33430847470792335,0.73012556504314,1.1478177060711439,595.0
Otto-Suhr-Allee,Private room in condo,Private room,-0.6069839950470781,-0.33430847470792335,-0.414522901443847,-0.020840265613023688,155.0
Prenzlauer Berg Nord,Private room in bed and breakfast,Private room,-0.6069839950470781,-0.33430847470792335,-0.414522901443847,-0.6051692514551075,554.28
südliche Luisenstadt,Private room in rental unit,Private room,-0.6069839950470781,-0.33430847470792335,-0.414522901443847,-0.6051692514551075,782.0
Alt  Treptow,Private room in rental unit,Private room,-1.0521463012737582,-0.33430847470792335,-0.414522901443847,-0.6051692514551075,483.95
Karl-Marx-Allee-Süd,Room in boutique hotel,Private room,-0.6069839950470781,-0.33430847470792335,-0.414522901443847,0.5634887202290602,190.0
Frankfurter Allee Süd FK,Entire rental unit,Entire home/apt,0.28334061740628186,-0.33430847470792335,0.73012556504314,-0.6051692514551075,295.0
Bohnsdorf,Entire cabin,Entire home/apt,-0.1618216888203981,-0.33430847470792335,-0.414522901443847,0.5634887202290602,185.0
Wedding Zentrum,Entire rental unit,Entire home/apt,-0.6069839950470781,-0.33430847470792335,-0.414522901443847,-0.6051692514551075,140.0
Tempelhofer Vorstadt,Private room in rental unit,Private room,-0.6069839950470781,-0.33430847470792335,-0.414522901443847,-0.6051692514551075,155.0
Alexanderplatz,Entire rental unit,Entire home/apt,0.28334061740628186,-0.33430847470792335,-0.414522901443847,-0.020840265613023688,380.0
Buckow,Entire rental unit,Entire home/apt,-0.1618216888203981,-0.33430847470792335,0.73012556504314,-0.020840265613023688,120.0
Moabit West,Entire rental unit,Entire home/apt,1.173665229859642,0.6983647374195179,1.874774031530127,1.7321466919132278,425.0
Prenzlauer Berg Nord,Entire rental unit,Entire home/apt,-0.6069839950470781,-0.33430847470792335,-0.414522901443847,-0.6051692514551075,135.0
Kantstraße,Entire rental unit,Entire home/apt,0.7285029236329619,-0.33430847470792335,0.73012556504314,1.1478177060711439,600.0
Alt  Treptow,Entire rental unit,Entire home/apt,0.28334061740628186,-0.33430847470792335,0.73012556504314,-0.020840265613023688,300.0
Brunnenstr. Süd,Private room in rental unit,Private room,0.28334061740628186,-0.33430847470792335,-0.414522901443847,-0.020840265613023688,440.0
Prenzlauer Berg Nordwest,Entire loft,Entire home/apt,0.7285029236329619,2.7637111616744003,1.874774031530127,0.5634887202290602,380.0
Brunnenstr. Süd,Entire rental unit,Entire home/apt,0.7285029236329619,1.7310379495469592,1.874774031530127,0.5634887202290602,565.0
